text,label
"Machine learning is fascinating. Hello, how are you?",English
"Hola, ¿cómo estás? Vamos al parque.",Spanish
Aprendizado de máquina é fascinante. Nós vamos ao parque.,Portuguese
आज का दिन बहुत सुंदर है। आज का दिन बहुत सुंदर है।,Hindi
आज का दिन बहुत सुंदर है। हम पार्क जा रहे हैं।,Hindi
تعلم الآلة ممتع. مرحبا كيف حالك؟,Arabic
Mi piace imparare cose nuove. Mi piace imparare cose nuove.,Italian
"Bonjour, comment ça va? J'aime apprendre de nouvelles choses.",French
I enjoy learning new skills. We are going to the park.,English
"Hello, how are you? We are going to the park.",English
मुझे नई चीजें सीखना पसंद है। आज का दिन बहुत सुंदर है।,Hindi
Me gusta aprender cosas nuevas. Vamos al parque.,Spanish
हम पार्क जा रहे हैं। आज का दिन बहुत सुंदर है।,Hindi
Hoje é um dia bonito. Eu gosto de aprender coisas novas.,Portuguese
"Hallo, wie geht es dir? Heute ist ein schöner Tag.",German
आज का दिन बहुत सुंदर है। मुझे नई चीजें सीखना पसंद है।,Hindi
Aprendizado de máquina é fascinante. Nós vamos ao parque.,Portuguese
Hoy es un día hermoso. Hoy es un día hermoso.,Spanish
"Ciao, come stai? Andiamo al parco.",Italian
"Me gusta aprender cosas nuevas. Hola, ¿cómo estás?",Spanish
"We are going to the park. Hello, how are you?",English
Today is a beautiful day. I enjoy learning new skills.,English
"Eu gosto de aprender coisas novas. Olá, como você está?",Portuguese
Aujourd'hui est une belle journée. L'apprentissage automatique est fascinant.,French
Wir gehen in den Park. Heute ist ein schöner Tag.,German
机器学习很有趣。 我喜欢学习新东西。,Chinese
"Hello, how are you? We are going to the park.",English
"Bonjour, comment ça va? Nous allons au parc.",French
Hoy es un día hermoso. Me gusta aprender cosas nuevas.,Spanish
"Hoy es un día hermoso. Hola, ¿cómo estás?",Spanish
Сегодня прекрасный день. Мне нравится изучать новое.,Russian
आज का दिन बहुत सुंदर है। आज का दिन बहुत सुंदर है।,Hindi
Машинное обучение увлекательно. Машинное обучение увлекательно.,Russian
机器学习很有趣。 我喜欢学习新东西。,Chinese
"नमस्ते, आप कैसे हैं? मुझे नई चीजें सीखना पसंद है।",Hindi
Machine learning is fascinating. Today is a beautiful day.,English
Nós vamos ao parque. Eu gosto de aprender coisas novas.,Portuguese
मशीन लर्निंग बहुत रोचक है। मशीन लर्निंग बहुत रोचक है।,Hindi
Nous allons au parc. Aujourd'hui est une belle journée.,French
"Hello, how are you? Today is a beautiful day.",English
مرحبا كيف حالك؟ مرحبا كيف حالك؟,Arabic
我们要去公园。 机器学习很有趣。,Chinese
Today is a beautiful day. Today is a beautiful day.,English
我们要去公园。 我们要去公园。,Chinese
मुझे नई चीजें सीखना पसंद है। हम पार्क जा रहे हैं।,Hindi
Maschinelles Lernen ist faszinierend. Heute ist ein schöner Tag.,German
Heute ist ein schöner Tag. Ich lerne gerne neue Dinge.,German
أحب تعلم أشياء جديدة. مرحبا كيف حالك؟,Arabic
مرحبا كيف حالك؟ تعلم الآلة ممتع.,Arabic
تعلم الآلة ممتع. أحب تعلم أشياء جديدة.,Arabic
Eu gosto de aprender coisas novas. Nós vamos ao parque.,Portuguese
"Bonjour, comment ça va? Nous allons au parc.",French
"हम पार्क जा रहे हैं। नमस्ते, आप कैसे हैं?",Hindi
"नमस्ते, आप कैसे हैं? मुझे नई चीजें सीखना पसंद है।",Hindi
I enjoy learning new skills. I enjoy learning new skills.,English
Andiamo al parco. Oggi è una bella giornata.,Italian
"Olá, como você está? Olá, como você está?",Portuguese
हम पार्क जा रहे हैं। आज का दिन बहुत सुंदर है।,Hindi
El aprendizaje automático es fascinante. El aprendizaje automático es fascinante.,Spanish
今天是美好的一天。 机器学习很有趣。,Chinese
نحن ذاهبون إلى الحديقة. نحن ذاهبون إلى الحديقة.,Arabic
"Machine learning is fascinating. Hello, how are you?",English
"Eu gosto de aprender coisas novas. Olá, como você está?",Portuguese
"Hello, how are you? We are going to the park.",English
مرحبا كيف حالك؟ نحن ذاهبون إلى الحديقة.,Arabic
Nous allons au parc. Nous allons au parc.,French
你好，你怎么样？ 你好，你怎么样？,Chinese
"Hello, how are you? Hello, how are you?",English
مرحبا كيف حالك؟ مرحبا كيف حالك؟,Arabic
Today is a beautiful day. Machine learning is fascinating.,English
Nós vamos ao parque. Eu gosto de aprender coisas novas.,Portuguese
Aujourd'hui est une belle journée. J'aime apprendre de nouvelles choses.,French
मशीन लर्निंग बहुत रोचक है। हम पार्क जा रहे हैं।,Hindi
"Heute ist ein schöner Tag. Hallo, wie geht es dir?",German
Nous allons au parc. Nous allons au parc.,French
"Hola, ¿cómo estás? El aprendizaje automático es fascinante.",Spanish
Машинное обучение увлекательно. Машинное обучение увлекательно.,Russian
Heute ist ein schöner Tag. Maschinelles Lernen ist faszinierend.,German
نحن ذاهبون إلى الحديقة. أحب تعلم أشياء جديدة.,Arabic
"J'aime apprendre de nouvelles choses. Bonjour, comment ça va?",French
Мы идем в парк. Мы идем в парк.,Russian
"हम पार्क जा रहे हैं। नमस्ते, आप कैसे हैं?",Hindi
我们要去公园。 我喜欢学习新东西。,Chinese
Machine learning is fascinating. Machine learning is fascinating.,English
"Maschinelles Lernen ist faszinierend. Hallo, wie geht es dir?",German
"मशीन लर्निंग बहुत रोचक है। नमस्ते, आप कैसे हैं?",Hindi
Andiamo al parco. L'apprendimento automatico è affascinante.,Italian
Today is a beautiful day. Machine learning is fascinating.,English
J'aime apprendre de nouvelles choses. L'apprentissage automatique est fascinant.,French
"Hello, how are you? I enjoy learning new skills.",English
Oggi è una bella giornata. Mi piace imparare cose nuove.,Italian
Мы идем в парк. Мы идем в парк.,Russian
"नमस्ते, आप कैसे हैं? हम पार्क जा रहे हैं।",Hindi
"Eu gosto de aprender coisas novas. Olá, como você está?",Portuguese
نحن ذاهبون إلى الحديقة. اليوم يوم جميل.,Arabic
"Сегодня прекрасный день. Привет, как дела?",Russian
مرحبا كيف حالك؟ أحب تعلم أشياء جديدة.,Arabic
"Ciao, come stai? Andiamo al parco.",Italian
"Bonjour, comment ça va? J'aime apprendre de nouvelles choses.",French
आज का दिन बहुत सुंदर है। आज का दिन बहुत सुंदर है।,Hindi
"Nous allons au parc. Bonjour, comment ça va?",French
نحن ذاهبون إلى الحديقة. اليوم يوم جميل.,Arabic
مرحبا كيف حالك؟ نحن ذاهبون إلى الحديقة.,Arabic
机器学习很有趣。 我喜欢学习新东西。,Chinese
"Hallo, wie geht es dir? Heute ist ein schöner Tag.",German
Maschinelles Lernen ist faszinierend. Maschinelles Lernen ist faszinierend.,German
"Nós vamos ao parque. Olá, como você está?",Portuguese
我们要去公园。 机器学习很有趣。,Chinese
اليوم يوم جميل. مرحبا كيف حالك؟,Arabic
"Machine learning is fascinating. Hello, how are you?",English
"I enjoy learning new skills. Hello, how are you?",English
Eu gosto de aprender coisas novas. Eu gosto de aprender coisas novas.,Portuguese
"Vamos al parque. Hola, ¿cómo estás?",Spanish
Andiamo al parco. Oggi è una bella giornata.,Italian
أحب تعلم أشياء جديدة. مرحبا كيف حالك؟,Arabic
机器学习很有趣。 今天是美好的一天。,Chinese
Me gusta aprender cosas nuevas. El aprendizaje automático es fascinante.,Spanish
Oggi è una bella giornata. Mi piace imparare cose nuove.,Italian
"Olá, como você está? Aprendizado de máquina é fascinante.",Portuguese
हम पार्क जा रहे हैं। मुझे नई चीजें सीखना पसंद है।,Hindi
我们要去公园。 机器学习很有趣。,Chinese
मुझे नई चीजें सीखना पसंद है। मुझे नई चीजें सीखना पसंद है।,Hindi
Hoy es un día hermoso. Me gusta aprender cosas nuevas.,Spanish
"Привет, как дела? Машинное обучение увлекательно.",Russian
Eu gosto de aprender coisas novas. Aprendizado de máquina é fascinante.,Portuguese
"El aprendizaje automático es fascinante. Hola, ¿cómo estás?",Spanish
Vamos al parque. Hoy es un día hermoso.,Spanish
मशीन लर्निंग बहुत रोचक है। मशीन लर्निंग बहुत रोचक है।,Hindi
مرحبا كيف حالك؟ اليوم يوم جميل.,Arabic
आज का दिन बहुत सुंदर है। आज का दिन बहुत सुंदर है।,Hindi
Машинное обучение увлекательно. Машинное обучение увлекательно.,Russian
Nós vamos ao parque. Hoje é um dia bonito.,Portuguese
"Ciao, come stai? Ciao, come stai?",Italian
I enjoy learning new skills. I enjoy learning new skills.,English
机器学习很有趣。 你好，你怎么样？,Chinese
Мы идем в парк. Мне нравится изучать новое.,Russian
Mi piace imparare cose nuove. Andiamo al parco.,Italian
Me gusta aprender cosas nuevas. Me gusta aprender cosas nuevas.,Spanish
机器学习很有趣。 我们要去公园。,Chinese
"Мы идем в парк. Привет, как дела?",Russian
Maschinelles Lernen ist faszinierend. Heute ist ein schöner Tag.,German
我喜欢学习新东西。 机器学习很有趣。,Chinese
"हम पार्क जा रहे हैं। नमस्ते, आप कैसे हैं?",Hindi
تعلم الآلة ممتع. تعلم الآلة ممتع.,Arabic
你好，你怎么样？ 你好，你怎么样？,Chinese
"L'apprendimento automatico è affascinante. Ciao, come stai?",Italian
"Hoy es un día hermoso. Hola, ¿cómo estás?",Spanish
Ich lerne gerne neue Dinge. Ich lerne gerne neue Dinge.,German
